vendor_name,vendor_category,payment_type,payment_amount,payment_date,cheque_number,bank
"Kurikkal Appliances Distributions (Anuraj), Grn Chf",Homeware,Cheque Issued,35082.00,29-05-2025,55560,AXIS
Lavanya Marketing,Homeware,Bank Transfer,8400.00,29-05-2025,,
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,34288.00,29-05-2025,54843,AXIS
RENUKA OIL AND FLOUR MILLS,FMCG,Cheque Issued,42500.00,29-05-2025,56171,AXIS
SBJ ASSOCIATES,Homeware,Cheque Issued,25620.00,29-05-2025,55574,AXIS
SMRITHI TRADERS,Homeware,Cheque Pending,27291.00,29-05-2025,,
BEST AGENCIES(R),Homeware,Cheque Issued,25820.00,30-05-2025,56118,AXIS
COCOPARK,FMCG,Cheque Issued,42083.00,30-05-2025,56163,AXIS
KP DISTRIBUTORS(R),Homeware,Cheque Issued,44558.00,30-05-2025,56126,AXIS
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,34288.00,30-05-2025,54842,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,26392.00,30-05-2025,56138,AXIS
SAFA GLOBAL VENTURES,Homeware,Cheque Issued,25785.00,30-05-2025,54880,AXIS
Top Turf Trading,Homeware,Cheque Issued,27458.00,30-05-2025,56120,AXIS
BEST AGENCIES(R),Homeware,Cheque Issued,25820.00,31-05-2025,56117,AXIS
GOPI&CO,FMCG,Cheque Issued,220000.00,31-05-2025,55506,AXIS
KP DISTRIBUTORS(R),Homeware,Cheque Issued,44558.00,31-05-2025,56114,AXIS
KURIKKAL APPLIANCE DISTRIBUTION MAQBOOL,Homeware,Cheque Issued,22819.00,31-05-2025,55572,AXIS
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,34288.00,31-05-2025,54841,AXIS
Rafa Mart Vadakara,Homeware,Cheque Issued,26392.00,31-05-2025,56137,AXIS
Top Turf Trading,Homeware,Cheque Issued,27458.00,31-05-2025,56119,AXIS
COCOPARK,FMCG,Cheque Issued,42083.00,02-06-2025,56164,AXIS
KP DISTRIBUTORS(R),Homeware,Cheque Issued,44558.00,02-06-2025,56113,AXIS
NAFCO GROUP,Homeware,Bank Transfer,3900.00,02-06-2025,,
Nandini Raw and Boiled Rice Mill,FMCG,Cheque Issued,34290.00,02-06-2025,54840,AXIS
Neo Marvel Manufactures LLP(R),Homeware,Cheque Issued,41559.00,02-06-2025,55594,AXIS
Royal Industries,Homeware,Cheque Issued,34177.00,02-06-2025,56109,AXIS
Team Thai,FMCG,Cheque Issued,26225.00,02-06-2025,56130,AXIS
Kasco Marketing,Homeware,Bank Transfer,4000.00,03-06-2025,,
KP DISTRIBUTORS(R),Homeware,Cheque Issued,44558.00,03-06-2025,56112,AXIS
Limar Enterprises,FMCG,Cheque Issued,41420.00,03-06-2025,54897,AXIS
Neo Marvel Manufactures LLP(R),Homeware,Cheque Issued,41559.00,03-06-2025,55593,AXIS
RENUKA OIL AND FLOUR MILLS,FMCG,Cheque Issued,42500.00,03-06-2025,56172,AXIS
Royal Industries,Homeware,Cheque Issued,34177.00,03-06-2025,56110,AXIS
COCOPARK,FMCG,Cheque Issued,41750.00,04-06-2025,56160,AXIS
RENUKA OIL AND FLOUR MILLS,FMCG,Cheque Issued,42500.00,04-06-2025,56173,AXIS
Rifa Traders(R),Homeware,Cheque Pending,38330.50,04-06-2025,,
Royal Industries,Homeware,Cheque Issued,34177.00,04-06-2025,56111,AXIS
Sky Associates,Homeware,Cheque Pending,48670.00,04-06-2025,,
XAVIER TRADERS,FMCG,Cheque Issued,15157.00,04-06-2025,55587,AXIS
ECOSAS ENTERPRISES LLP,Homeware,Cheque Pending,32825.00,05-06-2025,,
PLAZZO MART,Homeware,Bank Transfer,4937.00,05-06-2025,,
RENUKA OIL AND FLOUR MILLS,FMCG,Cheque Issued,42500.00,05-06-2025,56174,AXIS
Rifa Traders(R),Homeware,Cheque Pending,38330.50,05-06-2025,,
